Match Score,Product ID,Old Slug,New Slug,Old Name,Current Name,Old URL
80,937,"peshawari-nan-taste-of-peshawar-in-stockholm","?post_type=product&p=937","Peshawari nan | Taste of Peshawar in Stockholm - Royal Sweets & Restaurant","Peshawari nan | Taste of Peshawar in Stockholm","https://www.royalbr.se/product/peshawari-nan-taste-of-peshawar-in-stockholm/"
80,1033,"kids-burger","?post_type=product&p=1033","Kids Burger/Barn Burger - Royal Sweets & Restaurant","Kids Burger/Barn Burger","https://www.royalbr.se/product/kids-burger/"
80,934,"plain-nan","?post_type=product&p=934","Plain nan - Royal Sweets & Restaurant","Plain nan","https://www.royalbr.se/product/plain-nan/"
80,1042,"paneer-tikka-pizza","?post_type=product&p=1042","Paneer Tikka Pizza - Royal Sweets & Restaurant","Paneer Tikka Pizza","https://www.royalbr.se/product/paneer-tikka-pizza/"
80,1061,"warm-doodh-jalebi-a-royal-sweet-indulgence","?post_type=product&p=1061","Warm Doodh Jalebi - A Royal Sweet Indulgence - Royal Sweets & Restaurant","Warm Doodh Jalebi - A Royal Sweet Indulgence","https://www.royalbr.se/product/warm-doodh-jalebi-a-royal-sweet-indulgence/"
80,972,"lamm-karahi-best-lamb-karahi-in-stockholm","?post_type=product&p=972","Lamm Karahi | Best Lamb Karahi in Stockholm - Royal Sweets & Restaurant","Lamm Karahi | Best Lamb Karahi in Stockholm","https://www.royalbr.se/product/lamm-karahi-best-lamb-karahi-in-stockholm/"
80,847,"chicken-samosa-most-famous-chicken-samosa-in-stockholm","?post_type=product&p=847","""Chicken Samosa | Most Famous Chicken Samosa in Stockholm - Royal Sweets &","Chicken Samosa | Most Famous Chicken Samosa in Stockholm","https://www.royalbr.se/product/chicken-samosa-most-famous-chicken-samosa-in-stockholm/"
80,1063,"royal-falooda-refreshing-layered-dessert-drink","?post_type=product&p=1063","Royal Falooda - Refreshing Layered Dessert Drink - Royal Sweets & Restaurant","Royal Falooda - Refreshing Layered Dessert Drink","https://www.royalbr.se/product/royal-falooda-refreshing-layered-dessert-drink/"
80,929,"alo-gobi-vegetarian-food-in-stockholm","?post_type=product&p=929","Alo Gobi | Vegetarian Food in Stockholm - Royal Sweets & Restaurant","Alo Gobi | Vegetarian Food in Stockholm","https://www.royalbr.se/product/alo-gobi-vegetarian-food-in-stockholm/"
80,1050,"royal-special-pizza","?post_type=product&p=1050","The Royal Special Loaded Pizza - Royal Sweets & Restaurant","The Royal Special Loaded Pizza","https://www.royalbr.se/product/royal-special-pizza/"
80,1023,"catering-deal-5","?post_type=product&p=1023","""Catering Deal 5 (from 320 kr/person) | 30+ Guests - Royal Sweets &","Catering Deal 5 (from 320 kr/person) | 30+ Guests","https://www.royalbr.se/product/catering-deal-5/"
80,1062,"creamy-doodh-rabri-rich-milk-dessert","?post_type=product&p=1062","Creamy Doodh Rabri - Rich Milk Dessert - Royal Sweets & Restaurant","Creamy Doodh Rabri - Rich Milk Dessert","https://www.royalbr.se/product/creamy-doodh-rabri-rich-milk-dessert/"
80,1048,"lahori-salami-pizza","?post_type=product&p=1048","Lahori Salami Pizza - Royal Sweets & Restaurant","Lahori Salami Pizza","https://www.royalbr.se/product/lahori-salami-pizza/"
80,1014,"fish-grill","?post_type=product&p=1014","Fish Grill BBQ | Tandoori Fish - Royal Sweets & Restaurant","Fish Grill BBQ | Tandoori Fish","https://www.royalbr.se/product/fish-grill/"
80,1041,"garlic-corn-pizza","?post_type=product&p=1041","Garlic & Sweet Corn Delight Pizza - Royal Sweets & Restaurant","Garlic & Sweet Corn Delight Pizza","https://www.royalbr.se/product/garlic-corn-pizza/"
80,1022,"catering-deal-4","?post_type=product&p=1022","""Catering Deal 4 (from 290 kr/person) | 30+ Guests - Royal Sweets &","Catering Deal 4 (from 290 kr/person) | 30+ Guests","https://www.royalbr.se/product/catering-deal-4/"
80,1047,"keema-pizza","?post_type=product&p=1047","Keema (Minced Meat) Pizza - Royal Sweets & Restaurant","Keema (Minced Meat) Pizza","https://www.royalbr.se/product/keema-pizza/"
80,938,"tandoori-roti","?post_type=product&p=938","Tandoori roti - Royal Sweets & Restaurant","Tandoori roti","https://www.royalbr.se/product/tandoori-roti/"
80,1020,"catering-deal-2","?post_type=product&p=1020","""Catering & Party hall Deal 2 (fr. 220 kr/person) | 35+ GÃ¤ster - Royal","Catering & Party hall Deal 2 (fr. 220 kr/person) | 35+ Gäster","https://www.royalbr.se/product/catering-deal-2/"
80,1049,"fish-tikka-pizza","?post_type=product&p=1049","Lahori Fish Tikka Pizza - Royal Sweets & Restaurant","Lahori Fish Tikka Pizza","https://www.royalbr.se/product/fish-tikka-pizza/"
80,1198,"khoya-kulfi","khoya-kulfi","""Authentic Khoya Kulfi â€“ Traditional Desi Frozen Dessert in Sweden - Royal","Authentic Khoya Kulfi – Traditional Desi Frozen Dessert in Sweden","https://www.royalbr.se/product/khoya-kulfi/"
